sample_id	sample_present	seq_lab_id	genome_fraction_20x	enough_coverage	freyja_demix_status	freyja_num_variants	freyja_num_unique_freqs	sample_status
20230419NY087028533A	ok	nymc	0.0012038925860281	no	NA	NA	NA	low_coverage
20230719NY015035742A	ok	suny_buffalo	0.3985887703574893	no	NA	NA	NA	low_coverage
20230201NY103104809A	ok	wadsworth	0.4122997692539211	no	NA	NA	NA	low_coverage
20230604NY055028339A	ok	u_of_rochester	0.6094371802160318	yes	solver_error	9	5	freyja_demix_error
20230219NY119026701A	ok	nymc	0.9293716349530148	yes	ok	27	24	ok
20230201NY119026719A	ok	nymc	1.4210854715202004e-16	no	NA	NA	NA	low_coverage
20230404NY087022748A	ok	nymc	0.8661003912650905	yes	solver_warning	16	16	ok
20230118NY075029106A	ok	suny_upstate	0.8015583720696919	yes	solver_warning	31	27	ok
20230309NY039020389A	ok	wadsworth	0.4074841989098082	no	NA	NA	NA	low_coverage
20230711NY051030635A	ok	u_of_rochester	0.7286559876935425	yes	solver_warning	9	9	ok
20230215NY025029271A	ok	nymc	0.9579306424104604	yes	ok	38	36	ok
20230216NY097271942A	ok	u_of_rochester	0.1475102832491722	no	NA	NA	NA	low_coverage
20230417NY029028436A	ok	suny_buffalo	0.6473932381366418	yes	solver_warning	19	11	ok
20230808NY065030864A	ok	wadsworth	0.6842122863926697	yes	solver_warning	15	15	ok
20230426NY075026301A	ok	suny_upstate	0.8534929605725178	yes	ok	22	20	ok
20230222NY049020125A	ok	wadsworth	0.955054676788282	yes	ok	37	34	ok
20230228NY089020818A	ok	wadsworth	0.9644851687121694	yes	ok	62	59	ok
20230216NY093020516A	ok	wadsworth	0.6900979834799185	yes	solver_warning	23	12	ok
20230620NY071031518A	ok	nymc	0.9442196435140288	yes	ok	47	44	ok
20230227NY045025984B	ok	wadsworth	0.9756211751329296	yes	ok	105	102	ok
20230403NY113029050A	ok	u_of_rochester	0.5929170986188678	yes	solver_warning	11	7	ok
20230112NY007024414C	ok	wadsworth	0.977159482326188	yes	ok	99	96	ok
20230329NY089031194A	ok	wadsworth	0.8799451560044144	yes	solver_warning	26	26	ok
20230321NY111029351A	ok	nymc	0.1690131424940642	no	NA	NA	NA	low_coverage
