sample_id	sample_present	seq_lab_id	genome_fraction_20x	enough_coverage	freyja_num_variants	freyja_num_unique_freqs	sample_status
20230314NY117029475A	no_file	NA	NA	NA	NA	NA	no_file
20230329NY025029271A	no_file	NA	NA	NA	NA	NA	no_file
20230425NY027149209A	no_file	NA	NA	NA	NA	NA	no_file
20230309NY093020516A	no_file	NA	NA	NA	NA	NA	no_file
20230427NY073021873A	no_file	NA	NA	NA	NA	NA	no_file
20221229NY059026999A	no_file	NA	NA	NA	NA	NA	no_file
20230306NY055028231A	no_file	NA	NA	NA	NA	NA	no_file
20230207NY103079324A	no_file	NA	NA	NA	NA	NA	no_file
20230313NY059026999A	no_file	NA	NA	NA	NA	NA	no_file
20230209NY103021750A	no_file	NA	NA	NA	NA	NA	no_file
20230112NY101025721A	no_file	NA	NA	NA	NA	NA	no_file
20230321NY071024422A	no_file	NA	NA	NA	NA	NA	no_file
20230308NY111030082A	no_file	NA	NA	NA	NA	NA	no_file
20230228NY071031518A	no_file	NA	NA	NA	NA	NA	no_file
20221228NY111029351A	no_file	NA	NA	NA	NA	NA	no_file
20230406NY101021431A	no_file	NA	NA	NA	NA	NA	no_file
20230301NY089031194A	no_file	NA	NA	NA	NA	NA	no_file
20230426NY015035742A	no_file	NA	NA	NA	NA	NA	no_file
20230426NY119100803A	no_file	NA	NA	NA	NA	NA	no_file
20230228NY103206644A	no_file	NA	NA	NA	NA	NA	no_file
20230216NY001025739A	no_file	NA	NA	NA	NA	NA	no_file
20230404NY001025739A	no_file	NA	NA	NA	NA	NA	no_file
20230406NY045025984A	no_file	NA	NA	NA	NA	NA	no_file
20230412NY021022039A	no_file	NA	NA	NA	NA	NA	no_file
20230131NY065030864A	no_file	NA	NA	NA	NA	NA	no_file
20230413NY103104809A	no_file	NA	NA	NA	NA	NA	no_file
20230307NY055021610A	no_file	NA	NA	NA	NA	NA	no_file
20230315NY107029262A	no_file	NA	NA	NA	NA	NA	no_file
20230308NY103020061A	no_file	NA	NA	NA	NA	NA	no_file
20230301NY071026310A	no_file	NA	NA	NA	NA	NA	no_file
20230301NY083087971A	no_file	NA	NA	NA	NA	NA	no_file
20230131NY111029351A	no_file	NA	NA	NA	NA	NA	no_file
20230330NY029022136A	no_file	NA	NA	NA	NA	NA	no_file
20230322NY045025151A	no_file	NA	NA	NA	NA	NA	no_file
20230321NY087026051A	no_file	NA	NA	NA	NA	NA	no_file
20230201NY075029106A	no_file	NA	NA	NA	NA	NA	no_file
20230321NY029095401A	no_file	NA	NA	NA	NA	NA	no_file
20230411NY029026395B	no_file	NA	NA	NA	NA	NA	no_file
20230228NY101021431A	no_file	NA	NA	NA	NA	NA	no_file
20230406NY071027901A	no_file	NA	NA	NA	NA	NA	no_file
20230117NY029095401A	no_file	NA	NA	NA	NA	NA	no_file
20230411NY051030635A	no_file	NA	NA	NA	NA	NA	no_file
20230418NY053026956A	no_file	NA	NA	NA	NA	NA	no_file
20230426NY051024449A	no_file	NA	NA	NA	NA	NA	no_file
20230316NY023027561A	no_file	NA	NA	NA	NA	NA	no_file
20221228NY057020290A	no_file	NA	NA	NA	NA	NA	no_file
20221229NY065025780C	no_file	NA	NA	NA	NA	NA	no_file
20230327NY001026875A	no_file	NA	NA	NA	NA	NA	no_file
20230430NY067030317A	no_file	NA	NA	NA	NA	NA	no_file
20230302NY029028436A	no_file	NA	NA	NA	NA	NA	no_file
20230330NY077031151A	no_file	NA	NA	NA	NA	NA	no_file
20230323NY101023906A	no_file	NA	NA	NA	NA	NA	no_file
20230418NY007024414B	no_file	NA	NA	NA	NA	NA	no_file
20230316NY113029050A	no_file	NA	NA	NA	NA	NA	no_file
20230413NY071026328A	no_file	NA	NA	NA	NA	NA	no_file
20230206NY001026875A	no_file	NA	NA	NA	NA	NA	no_file
20230321NY103065358A	no_file	NA	NA	NA	NA	NA	no_file
20230426NY027026255A	no_file	NA	NA	NA	NA	NA	no_file
20230302NY089236586A	no_file	NA	NA	NA	NA	NA	no_file
20230419NY043036528A	no_file	NA	NA	NA	NA	NA	no_file
20230316NY071031518A	no_file	NA	NA	NA	NA	NA	no_file
20230201NY057020290A	no_file	NA	NA	NA	NA	NA	no_file
20230319NY055028339A	no_file	NA	NA	NA	NA	NA	no_file
20230420NY035026042A	no_file	NA	NA	NA	NA	NA	no_file
20230322NY015036986A	no_file	NA	NA	NA	NA	NA	no_file
20230214NY011021903A	no_file	NA	NA	NA	NA	NA	no_file
20230314NY103021750A	no_file	NA	NA	NA	NA	NA	no_file
20230413NY113029050A	no_file	NA	NA	NA	NA	NA	no_file
20230307NY055028339A	no_file	NA	NA	NA	NA	NA	no_file
20230221NY023027561A	no_file	NA	NA	NA	NA	NA	no_file
20230425NY029022136A	no_file	NA	NA	NA	NA	NA	no_file
20230327NY019026018A	no_file	NA	NA	NA	NA	NA	no_file
20230302NY103021750A	no_file	NA	NA	NA	NA	NA	no_file
20230215NY105022454A	no_file	NA	NA	NA	NA	NA	no_file
20221229NY103021750A	no_file	NA	NA	NA	NA	NA	no_file
20230403NY055028231A	no_file	NA	NA	NA	NA	NA	no_file
20230402NY055028339A	no_file	NA	NA	NA	NA	NA	no_file
20230301NY045025151A	no_file	NA	NA	NA	NA	NA	no_file
20230302NY007024414B	no_file	NA	NA	NA	NA	NA	no_file
20230328NY033030376A	no_file	NA	NA	NA	NA	NA	no_file
20230413NY029095401A	no_file	NA	NA	NA	NA	NA	no_file
20230424NY065025780C	no_file	NA	NA	NA	NA	NA	no_file
20230308NY079031356A	no_file	NA	NA	NA	NA	NA	no_file
20221228NY083087971A	no_file	NA	NA	NA	NA	NA	no_file
20230122NY029095401A	no_file	NA	NA	NA	NA	NA	no_file
20230301NY059026859A	no_file	NA	NA	NA	NA	NA	no_file
20230405NY095024201A	no_file	NA	NA	NA	NA	NA	no_file
20230302NY099033308A	no_file	NA	NA	NA	NA	NA	no_file
20230426NY087026051A	no_file	NA	NA	NA	NA	NA	no_file
20230122NY029028410A	no_file	NA	NA	NA	NA	NA	no_file
20230315NY083087971A	no_file	NA	NA	NA	NA	NA	no_file
20230404NY029022136A	no_file	NA	NA	NA	NA	NA	no_file
20230412NY071026310A	no_file	NA	NA	NA	NA	NA	no_file
20230412NY025029271A	no_file	NA	NA	NA	NA	NA	no_file
20230215NY091028240A	no_file	NA	NA	NA	NA	NA	no_file
20230402NY119026719A	no_file	NA	NA	NA	NA	NA	no_file
20230416NY055028339A	no_file	NA	NA	NA	NA	NA	no_file
20230220NY031021733A	no_file	NA	NA	NA	NA	NA	no_file
20221228NY025029271A	no_file	NA	NA	NA	NA	NA	no_file
20230420NY071031518A	no_file	NA	NA	NA	NA	NA	no_file
20230216NY089236586A	no_file	NA	NA	NA	NA	NA	no_file
20230321NY103021750A	no_file	NA	NA	NA	NA	NA	no_file
20230301NY001022225A	no_file	NA	NA	NA	NA	NA	no_file
20230226NY067027081A	no_file	NA	NA	NA	NA	NA	no_file
20230329NY087028533A	no_file	NA	NA	NA	NA	NA	no_file
20230418NY029026395B	no_file	NA	NA	NA	NA	NA	no_file
20230110NY071026310A	no_file	NA	NA	NA	NA	NA	no_file
20221228NY071026522A	no_file	NA	NA	NA	NA	NA	no_file
