callout_group,lineage
BA.2,JN.12
BA.2,JN.13
BA.2,JN.13.1
BA.2,JN.14
BA.2,JN.2
BA.2,JN.2.1
BA.2,JN.2.2
BA.2,JN.2.2.1
BA.2,JN.2.3
BA.2,JN.2.4
BA.2,JN.2.5
BA.2,JN.3
BA.2,JN.3.1
BA.2,JN.3.2
BA.2,JN.3.2.1
BA.2,JN.4
BA.2,JN.5
BA.2,JN.5.1
BA.2,JN.6
BA.2,JN.7
BA.2,JN.8
BA.2,JN.9
BA.2,JP.1
BA.2,JP.1.1
BA.2,JQ.1
BA.2,JQ.2
BA.2,JQ.2.1
XBB.1.9,JR.1
XBB.1.9,JR.1.1
XBB.1.9,JR.1.1.1
XBB,JS.1
XBB,JS.2
Other,JT.1
XBB,JU.1
BA.2,JV.1
BA.2,JV.2
XBB,JW.1
XBB,JW.1.1
XBB,JY.1
XBB,JY.1.1
XBB.1.5,JZ.1
Other,K.1
Other,K.2
Other,K.3
XBB.1.5,KA.1
XBB.1.9,KB.1
XBB.1.9,KB.2
XBB.1.9,KB.3
XBB.1.9,KB.4
Other,KC.1
Other,KC.1.1
Other,KD.1
Other,KD.2
Other,KD.3
Other,KD.4
Other,KE.1
Other,KE.2
Other,KE.3
Other,KF.1
Other,KF.2
BA.2,KG.1
BA.2,KG.2
Other,KH.1
Other,KJ.1
Other,KK.1
Other,KK.2
XBB.1.9,KL.1
XBB.1.9,KL.1.1
Other,KM.1
Other,KN.1
Other,KN.1.1
BA.2,KP.1
BA.2,KP.1.1
BA.2,KP.1.1.1
BA.2,KP.2
BA.2,KP.2.1
BA.2,KP.2.2
BA.2,KP.3
BA.2,KQ.1
BA.2,KR.1
BA.2,KS.1
XBB,KT.1
XBB,KT.1.1
XBB,KT.1.2
BA.2,KU.1
BA.2,KU.2
BA.2,KV.1
BA.2,KV.2
BA.2,KW.1
BA.2,KW.1.1
BA.2,KY.1
BA.2,KZ.1
BA.2,KZ.1.1
BA.2,KZ.1.1.1
Other,L.1
Other,L.2
Other,L.3
Other,L.4
Other,M.1
Other,M.2
Other,M.3
Other,N.1
Other,N.10
Other,N.2
Other,N.3
Other,N.4
Other,N.5
Other,N.6
Other,N.7
Other,N.8
Other,N.9
Other,P.1
Other,P.1.1
Other,P.1.10
Other,P.1.10.1
Other,P.1.10.2
Other,P.1.11
Other,P.1.12
Other,P.1.12.1
Other,P.1.13
Other,P.1.14
Other,P.1.15
Other,P.1.16
Other,P.1.17
Other,P.1.17.1
Other,P.1.2
Other,P.1.3
Other,P.1.4
Other,P.1.5
Other,P.1.6
Other,P.1.7
Other,P.1.7.1
Other,P.1.8
Other,P.1.9
Other,P.2
Other,P.3
Other,P.4
Other,P.5
Other,P.6
Other,P.7
B.1.1.7,Q.1
B.1.1.7,Q.2
B.1.1.7,Q.3
B.1.1.7,Q.4
B.1.1.7,Q.5
B.1.1.7,Q.6
B.1.1.7,Q.7
B.1.1.7,Q.8
Other,R.1
Other,R.2
Other,S.1
Other,U.1
Other,U.2
Other,U.3
Other,V.1
Other,V.2
Other,W.1
Other,W.2
Other,W.3
Other,W.4
Other,XA
Other,XAA
Other,XAB
Other,XAC
Other,XAD
Other,XAE
Other,XAF
Other,XAG
Other,XAH
Other,XAJ
Other,XAK
Other,XAL
Other,XAM
Other,XAN
Other,XAP
Other,XAQ
Other,XAR
Other,XAS
Other,XAT
Other,XAU
Other,XAV
Other,XAW
Other,XAY
Other,XAY.1
Other,XAY.1.1
Other,XAY.1.1.1
Other,XAY.1.1.2
Other,XAY.1.1.3
Other,XAY.1.2
Other,XAY.2
Other,XAY.2.1
Other,XAY.2.2
Other,XAY.2.3
Other,XAY.3
Other,XAZ
Other,XB
Other,XBA
XBB,XBB
XBB,XBB.1
XBB,XBB.1.1
XBB,XBB.1.10
XBB,XBB.1.11
XBB,XBB.1.11.1
XBB,XBB.1.12
XBB,XBB.1.12.1
XBB,XBB.1.13
XBB,XBB.1.13.1
XBB,XBB.1.14
XBB,XBB.1.14.1
XBB,XBB.1.15
XBB,XBB.1.15.1
XBB.1.16,XBB.1.16
XBB.1.16,XBB.1.16.1
XBB.1.16,XBB.1.16.10
XBB.1.16,XBB.1.16.11
XBB.1.16,XBB.1.16.12
XBB.1.16,XBB.1.16.13
XBB.1.16,XBB.1.16.14
XBB.1.16,XBB.1.16.15
XBB.1.16,XBB.1.16.16
XBB.1.16,XBB.1.16.17
XBB.1.16,XBB.1.16.18
XBB.1.16,XBB.1.16.19
XBB.1.16,XBB.1.16.2
XBB.1.16,XBB.1.16.20
XBB.1.16,XBB.1.16.21
XBB.1.16,XBB.1.16.22
XBB.1.16,XBB.1.16.23
XBB.1.16,XBB.1.16.24
XBB.1.16,XBB.1.16.25
XBB.1.16,XBB.1.16.26
XBB.1.16,XBB.1.16.27
XBB.1.16,XBB.1.16.28
XBB.1.16,XBB.1.16.29
XBB.1.16,XBB.1.16.3
XBB.1.16,XBB.1.16.30
XBB.1.16,XBB.1.16.31
XBB.1.16,XBB.1.16.32
XBB.1.16,XBB.1.16.4
XBB.1.16,XBB.1.16.5
XBB.1.16,XBB.1.16.6
XBB.1.16,XBB.1.16.7
XBB.1.16,XBB.1.16.8
XBB.1.16,XBB.1.16.9
XBB,XBB.1.17
XBB,XBB.1.17.1
XBB,XBB.1.17.2
XBB,XBB.1.18
XBB,XBB.1.18.1
XBB,XBB.1.19
XBB,XBB.1.19.1
XBB,XBB.1.19.2
XBB,XBB.1.2
XBB,XBB.1.20
XBB,XBB.1.21
XBB,XBB.1.22
XBB,XBB.1.22.1
XBB,XBB.1.22.2
XBB,XBB.1.22.3
XBB,XBB.1.23
XBB,XBB.1.24
XBB,XBB.1.24.1
XBB,XBB.1.24.2
XBB,XBB.1.24.3
XBB,XBB.1.25
XBB,XBB.1.26
XBB,XBB.1.27
XBB,XBB.1.28
XBB,XBB.1.28.1
XBB,XBB.1.29
XBB,XBB.1.3
XBB,XBB.1.30
XBB,XBB.1.31
XBB,XBB.1.31.1
XBB,XBB.1.31.2
XBB,XBB.1.32
XBB,XBB.1.32.1
XBB,XBB.1.33
XBB,XBB.1.34
XBB,XBB.1.34.1
XBB,XBB.1.34.2
XBB,XBB.1.35
XBB,XBB.1.36
XBB,XBB.1.37
XBB,XBB.1.37.1
XBB,XBB.1.38
XBB,XBB.1.38.1
XBB,XBB.1.39
XBB,XBB.1.4
XBB,XBB.1.4.1
XBB,XBB.1.4.2
XBB,XBB.1.40
XBB,XBB.1.41
XBB,XBB.1.41.1
XBB,XBB.1.41.2
XBB,XBB.1.41.3
XBB,XBB.1.42
XBB,XBB.1.42.1
XBB,XBB.1.42.2
XBB,XBB.1.43
XBB,XBB.1.43.1
XBB,XBB.1.44
XBB,XBB.1.44.1
XBB,XBB.1.45
XBB,XBB.1.45.1
XBB,XBB.1.46
XBB,XBB.1.47
XBB,XBB.1.47.1
